ID_corrected	Equa_BiGG_Corrected	Genes	LB	UB
MNXR93748	1 nadh_c + 1 MNXM114147_c + 1 h_c + 1 nh4_c <==> 1 ile__L_c + 1 h2o_c + 1 nad_c	1185660.4.peg.1583	-1000	1000
MNXR93752	1 MNXM1992_c + 1 h_c + 1 h2o_c <-- 1 MNXM770_c + 1 nh4_c	(1185660.4.peg.2465 or 1185660.4.peg.775)	-1000	0
MNXR93753	1 Nforglu_c + 1 nh4_c <==> 1 h2o_c + 1 forglu_c	1185660.4.peg.1500	-1000	1000
MNXR93771	1 crtn_c + 1 h_c + 1 h2o_c <==> 1 MNXM1762_c + 1 nh4_c	(1185660.4.peg.3586 or 1185660.4.peg.778)	-1000	1000
MNXR93774	1 h_c + 1 h2o_c + 1 6pthp_c <==> 1 MNXM4882_c + 1 nh4_c	1185660.4.peg.2028	-1000	1000
MNXR93778	1 MNXM3219_c <==> 1 pp2coa_c + 1 nh4_c	1185660.4.peg.2001	-1000	1000
MNXR93797	1 h2o_c + 1 maltttr_c <==> 1 MNXM5664_c + 1 glc__D_c	1185660.4.peg.1837	-1000	1000
MNXR93798	1 maltpt_c + 1 h2o_c <==> 1 maltttr_c + 1 glc__D_c	1185660.4.peg.1837	-1000	1000
MNXR93834	1 co2_c + 1 MNXM4389_c + 1 nh4_c <==> 2 h_c + 1 h2o_c + 1 MNXM4401_c	1185660.4.peg.2408	-1000	1000
MNXR93840	1 h2o_c + 1 bdg2hc_c <==> 1 2coum_c + 1 glc__D_c	1185660.4.peg.2802	-1000	1000
MNXR93844	1 malthp_c + 1 h2o_c <==> 1 MNXM46033_c + 1 glc__D_c	1185660.4.peg.1837	-1000	1000
MNXR93845	1 maltpt_c + 1 glc__D_c <==> 1 h2o_c + 1 MNXM46033_c	1185660.4.peg.1837	-1000	1000
MNXR93864	1 urea_c + 1 co2_c + 1 nh4_c <==> 1 MNXM1545_c + 1 h_c + 1 h2o_c	(1185660.4.peg.3595 or 1185660.4.peg.3339)	-1000	1000
MNXR93865	1 allphn_c + 1 nh4_c <==> 1 MNXM1545_c + 1 h2o_c	(1185660.4.peg.3339 or 1185660.4.peg.3595)	-1000	1000
MNXR93869	1 bz_c + 1 nh4_c <-- 1 h2o_c + 1 MNXM5065_c	(1185660.4.peg.1978 or 1185660.4.peg.2410)	-1000	0
MNXR93881	1 5hiu_c + 1 h2o_c --> 1 co2_c + 1 alltn_c	Unknown	0	1000
MNXR93945	1 nadh_c + 1 h_c + 1 MNXM265_c + 1 nh4_c <==> 1 h2o_c + 1 MNXM42008_c + 1 nad_c	1185660.4.peg.1583	-1000	1000
MNXR93946	1 h_c + 1 MNXM265_c + 1 nadph_c + 1 nh4_c <==> 1 h2o_c + 1 MNXM42008_c + 1 nadp_c	1185660.4.peg.1583	-1000	1000
MNXR93966	1 nadh_c + 1 h_c + 1 MNXM265_c + 1 nh4_c <==> 1 h2o_c + 1 MNXM381_c + 1 nad_c	1185660.4.peg.1583	-1000	1000
MNXR94017	1 trnagln_c + 1 glc__D_c <==> 1 h2o_c + 1 MNXM7243_c	1185660.4.peg.2802	-1000	1000
MNXR94061	1 cmp_nate_c + 1 MNXM7555_c <==> 1 h_c + 1 cmp_c + 1 MNXM44103_c	(1185660.4.peg.2670 or 1185660.4.peg.3117)	-1000	1000
MNXR94063	1 acnam_c + 1 MNXM63441_c <==> 1 h2o_c + 1 MNXM7555_c	(1185660.4.peg.1308 or 1185660.4.peg.1420 or 1185660.4.peg.3662)	-1000	1000
